Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,
1635455000,-21.94632008,74.50237957,-1365.49762,,,,
1650450000,-19.75576521,61.53043255,-1378.469567,,,,
1665445000,-20.01765211,68.64669452,-1371.353305,,,,
1680440000,-20.12668132,52.89931101,-1387.100689,,,,
1695435000,-18.76276628,50.30938489,-1389.690615,,,,
1710430000,-17.85757841,36.32300105,-1403.676999,,,,
1725425000,-19.0075782,43.82274689,-1396.177253,,,,
1740420000,-17.30727604,40.33123563,-1399.668764,,,,
1755415000,-19.00532939,35.73586746,-1404.264133,,,,
1770410000,-19.75615131,24.0989277,-1415.901072,,,,
1785405000,-17.65329628,4.826571857,-1435.173428,,,,
1800400000,-16.02957243,10.28613114,-1429.713869,,,,
1815395000,-15.97270505,-4.462975152,-1444.462975,,,,
1830390000,-15.41225052,-3.630198474,-1443.630198,,,,
1845385000,-17.40159183,-25.61455032,-1465.61455,,,,
1860380000,-17.70692326,-27.99354431,-1467.993544,,,,
1875375000,-18.13258817,-42.3909532,-1482.390953,,,,
1890370000,-17.53505248,-63.92438533,-1503.924385,,,,
1905365000,-16.83008082,-58.88122364,-1498.881224,,,,
1920360000,-18.88854711,-61.83948291,-1501.839483,,,,
1935355000,-17.00805193,-79.30850402,-1519.308504,,,,
1950350000,-17.97789502,-88.07527638,-1528.075276,,,,
1965345000,-19.78395557,-106.3211071,-1546.321107,,,,
1980340000,-16.81862172,-126.0372284,-1566.037228,,,,
1995335000,-17.70695763,-147.0699831,-1587.069983,,,,
2010330000,-15.58959923,-148.2639799,-1588.26398,,,,
2025325000,-16.7081445,-152.8522488,-1592.852249,,,,
2040320000,-15.43877924,170.6346653,-1629.365335,,,,
2055315000,-15.96062456,-177.16151,-1617.16151,,,,
2070310000,-19.05035671,163.0475161,-1636.952484,,,,
2085305000,-18.81666713,139.6153246,-1660.384675,,,,
2100300000,-17.42587734,123.866774,-1676.133226,,,,
2115295000,-14.03131297,110.6749702,-1689.32503,,,,
2130290000,-14.02411238,118.7732211,-1681.226779,,,,
2145285000,-14.89233311,87.77155423,-1712.228446,,,,
2160280000,-14.57482742,81.36105435,-1718.638946,,,,
2175275000,-13.97744608,66.34765003,-1733.65235,,,,
2190270000,-12.62426678,39.48543378,-1760.514566,,,,
2205265000,-13.70553809,37.71291032,-1762.28709,,,,
2220260000,-11.90420945,20.09217811,-1779.907822,,,,
2235255000,-12.27136726,18.09697397,-1781.903026,,,,
2250250000,-12.45077607,10.09296303,-1789.907037,,,,
2265245000,-11.32613526,-9.264241817,-1809.264242,,,,
2280240000,-11.45796627,-18.78620002,-1818.7862,,,,
2295235000,-11.74459153,-30.73867281,-1830.738673,,,,
2310230000,-13.81464801,-50.51616611,-1850.516166,,,,
2325225000,-11.27767536,-54.23153899,-1854.231539,,,,
2340220000,-11.58633053,-79.39638022,-1879.39638,,,,
2355215000,-11.43925108,-83.36163688,-1883.361637,,,,
2370210000,-12.74263511,-95.41070176,-1895.410702,,,,
2385205000,-11.68984804,-101.6917269,-1901.691727,,,,
2400200000,-12.0615664,-114.4385026,-1914.438503,,,,
2415195000,-9.578359063,-123.396549,-1923.396549,,,,
2430190000,-10.21201642,-135.883206,-1935.883206,,,,
2445185000,-10.48465981,-155.3381621,-1955.338162,,,,
2460180000,-10.62057317,-149.9924801,-1949.99248,,,,
2475175000,-10.4105102,-176.9785812,-1976.978581,,,,
2490170000,-9.697078895,173.8741346,-1986.125865,,,,
2505165000,-10.08312998,163.2568925,-1996.743108,,,,
2520160000,-9.959622233,137.2369641,-2022.763036,,,,
2535155000,-10.25606337,127.4875234,-2032.512477,,,,
2550150000,-9.253573776,126.6509371,-2033.349063,,,,
2565145000,-10.98159976,107.1316416,-2052.868358,,,,
2580140000,-9.656610888,93.66546765,-2066.334532,,,,
2595135000,-9.471705396,68.81181522,-2091.188185,,,,
2610130000,-8.85044341,65.77528161,-2094.224718,,,,
2625125000,-9.599684697,38.49707388,-2121.502926,,,,
2640120000,-11.18945806,31.96326788,-2128.036732,,,,
2655115000,-11.07069888,-5.282106222,-2165.282106,,,,
2670110000,-7.772170883,4.588948785,-2155.411051,,,,
