Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,,,,,
1425525000,-20.81382275,-80.1125226,-800.1125226,,,,,,,,
1440520000,-19.12575082,-87.09932007,-807.0993201,,,,,,,,
1455515000,-21.55506742,-121.9083817,-841.9083817,,,,,,,,
1470510000,-21.07969288,-60.83915944,-780.8391594,,,,,,,,
1485505000,-26.12581079,-75.26910175,-795.2691018,,,,,,,,
1500500000,-24.80119478,-94.60914714,-814.6091471,,,,,,,,
1515495000,-29.55387525,-100.76308,-820.76308,,,,,,,,
1530490000,-27.32137121,-85.95134674,-805.9513467,,,,,,,,
1545485000,-25.83896273,-104.5668613,-824.5668613,,,,,,,,
1560480000,-29.57426985,178.1782957,-901.8217043,,,,,,,,
1575475000,-28.69128042,-75.53354811,-795.5335481,,,,,,,,
1590470000,-27.77518543,-73.65582131,-793.6558213,,,,,,,,
1605465000,-34.94608022,-9.45264429,-729.4526443,,,,,,,,
1620460000,-27.21511667,-6.906524514,-726.9065245,,,,,,,,
1635455000,-28.99170172,-126.8423341,-846.8423341,,,,,,,,
1650450000,-35.31690139,-169.7542089,-889.7542089,,,,,,,,
1665445000,-24.18839542,-91.86079278,-811.8607928,,,,,,,,
1680440000,-30.45359417,-114.9140875,-834.9140875,,,,,,,,
1695435000,-34.45083164,95.46685462,-984.5331454,,,,,,,,
1710430000,-33.17533858,-76.24015572,-1156.240156,,,,,,,,
1725425000,-29.21441526,177.2518033,-1262.748197,,,,,,,,
1740420000,-24.44719824,105.6786055,-1334.321395,,,,,,,,
1755415000,-36.92887194,85.32905143,-1354.670949,,,,,,,,
1770410000,-29.65357636,143.55707,-1296.44293,,,,,,,,
1785405000,-24.71801698,110.1985707,-1329.801429,,,,,,,,
1800400000,-22.99250138,88.29271102,-1351.707289,,,,,,,,
1815395000,-25.60482104,71.34985804,-1368.650142,,,,,,,,
1830390000,-18.96609658,89.31384351,-1350.686156,,,,,,,,
1845385000,-18.10509952,73.95829042,-1366.04171,,,,,,,,
1860380000,-19.75644051,77.24436584,-1362.755634,,,,,,,,
1875375000,-18.02746574,67.03131097,-1372.968689,,,,,,,,
1890370000,-16.29734581,59.4088801,-1380.59112,,,,,,,,
1905365000,-17.88379984,53.41178567,-1386.588214,,,,,,,,
1920360000,-16.73135584,55.93361304,-1384.066387,,,,,,,,
1935355000,-17.98238914,37.49487145,-1402.505129,,,,,,,,
1950350000,-15.88882453,47.19683838,-1392.803162,,,,,,,,
1965345000,-13.91248032,21.10716844,-1418.892832,,,,,,,,
1980340000,-15.63391947,16.55183747,-1423.448163,,,,,,,,
1995335000,-13.45882155,7.129802058,-1432.870198,,,,,,,,
2010330000,-12.92175501,-2.561535617,-1442.561536,,,,,,,,
2025325000,-13.41509668,-0.973232772,-1440.973233,,,,,,,,
2040320000,-13.06188692,-12.17667465,-1452.176675,,,,,,,,
2055315000,-11.53109577,-10.67139753,-1450.671398,,,,,,,,
2070310000,-13.75876926,-22.10082701,-1462.100827,,,,,,,,
2085305000,-11.432671,-29.05017093,-1469.050171,,,,,,,,
2100300000,-11.68176757,-36.63608149,-1476.636081,,,,,,,,
2115295000,-11.55859449,-47.95097519,-1487.950975,,,,,,,,
2130290000,-13.82214688,-46.6259708,-1486.625971,,,,,,,,
2145285000,-11.59932182,-50.38969436,-1490.389694,,,,,,,,
2160280000,-11.46307268,-70.48927803,-1510.489278,,,,,,,,
2175275000,-10.85903247,-85.60207156,-1525.602072,,,,,,,,
2190270000,-11.82743381,-73.00574416,-1513.005744,,,,,,,,
2205265000,-9.554282115,-92.24882364,-1532.248824,,,,,,,,
2220260000,-10.8551721,-93.97726702,-1533.977267,,,,,,,,
2235255000,-11.03072525,-101.4224067,-1541.422407,,,,,,,,
2250250000,-8.379216017,-104.256188,-1544.256188,,,,,,,,
2265245000,-9.730759304,-121.063737,-1561.063737,,,,,,,,
2280240000,-11.56705398,-128.9884397,-1568.98844,,,,,,,,
2295235000,-10.16213793,-126.5824152,-1566.582415,,,,,,,,
2310230000,-9.651273089,-145.4977719,-1585.497772,,,,,,,,
2325225000,-10.05115042,-148.4816004,-1588.4816,,,,,,,,
2340220000,-10.36325234,-147.6628253,-1587.662825,,,,,,,,
2355215000,-11.25200214,-146.1538647,-1586.153865,,,,,,,,
2370210000,-11.1740541,-174.3029542,-1614.302954,,,,,,,,
2385205000,-11.06099882,176.613067,-1623.386933,,,,,,,,
2400200000,-9.547922881,169.8679178,-1630.132082,,,,,,,,
2415195000,-9.292547501,142.8799118,-1657.120088,,,,,,,,
2430190000,-8.518787355,148.2928378,-1651.707162,,,,,,,,
2445185000,-9.362741421,147.3284702,-1652.67153,,,,,,,,
2460180000,-10.27890087,126.7393566,-1673.260643,,,,,,,,
2475175000,-10.50076677,105.4803147,-1694.519685,,,,,,,,
2490170000,-9.949219574,106.3004205,-1693.69958,,,,,,,,
2505165000,-9.103812267,94.39547898,-1705.604521,,,,,,,,
2520160000,-9.014938537,88.47420133,-1711.525799,,,,,,,,
2535155000,-7.420071157,79.14756323,-1720.852437,,,,,,,,
2550150000,-9.364902857,70.77475082,-1729.225249,,,,,,,,
2565145000,-10.63245208,41.02033519,-1758.979665,,,,,,,,
2580140000,-8.939460149,34.28247091,-1765.717529,,,,,,,,
2595135000,-7.715025263,29.85778978,-1770.14221,,,,,,,,
2610130000,-8.496064561,14.5117406,-1785.488259,,,,,,,,
2625125000,-8.66604541,14.59760764,-1785.402392,,,,,,,,
2640120000,-6.282937776,-1.392680291,-1801.39268,,,,,,,,
2655115000,-8.808768698,-0.833650219,-1800.83365,,,,,,,,
2670110000,-9.453259132,-8.7546842,-1808.754684,,,,,,,,
2685105000,-8.599868912,-11.56972453,-1811.569725,,,,,,,,
2700100000,-6.995611346,-56.42205906,-1856.422059,,,,,,,,
2715095000,-6.390924795,-61.70721195,-1861.707212,,,,,,,,
2730090000,-6.454404964,-40.72780418,-1840.727804,,,,,,,,
2745085000,-7.066245059,-51.61393468,-1851.613935,,,,,,,,
2760080000,-6.739033137,-65.54744301,-1865.547443,,,,,,,,
2775075000,-9.003081257,-84.06922086,-1884.069221,,,,,,,,
2790070000,-6.929882512,-81.44871569,-1881.448716,,,,,,,,
2805065000,-7.469375535,-96.32559578,-1896.325596,,,,,,,,
2820060000,-5.288081149,-105.6147041,-1905.614704,,,,,,,,
2835055000,-6.460897796,-110.2335295,-1910.233529,,,,,,,,
2850050000,-5.429700048,-114.0778554,-1914.077855,,,,,,,,
2865045000,-6.009101201,-118.4747263,-1918.474726,,,,,,,,
2880040000,-5.751622278,-131.4070901,-1931.40709,,,,,,,,
2895035000,-5.727013889,-139.3758213,-1939.375821,,,,,,,,
2910030000,-5.132937032,-146.2072146,-1946.207215,,,,,,,,
2925025000,-4.989864596,-158.8446754,-1958.844675,,,,,,,,
2940020000,-5.278367897,-161.8391161,-1961.839116,,,,,,,,
2955015000,-4.591790755,-174.2495629,-1974.249563,,,,,,,,
2970010000,-4.053125984,-177.1166048,-1977.116605,,,,,,,,
2985005000,-4.041263224,175.015282,-1984.984718,,,,,,,,
3000000000,-4.279446245,167.263286,-1992.736714,,,,,,,,
