Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],,,,,
1582562189,-38.80842065,-3.618640991,-723.618641,,,,,
1597482587,-54.6573343,23.7892595,-696.2107405,,,,,
1612402985,-39.36782107,-7.769601916,-727.7696019,,,,,
1627323383,-45.41800132,4.541943249,-715.4580568,,,,,
1642243781,-39.09114344,10.89945378,-709.1005462,,,,,
1657164179,-41.36586332,-9.435505806,-729.4355058,,,,,
1672084577,-36.26523474,1.458534556,-718.5414654,,,,,
1687004975,-37.17433432,-11.50835157,-731.5083516,,,,,
1701925373,-36.35059381,-4.364221269,-724.3642213,,,,,
1716845771,-35.41199807,-28.81911455,-748.8191146,,,,,
1731766169,-34.49612411,18.95603872,-701.0439613,,,,,
1746686567,-31.9600114,-15.66534987,-735.6653499,,,,,
1761606965,-36.01981979,12.22144444,-707.7785556,,,,,
1776527363,-35.7864514,-17.05172566,-737.0517257,,,,,
1791447761,-35.17837373,-37.7742469,-757.7742469,,,,,
1806368159,-33.71906521,-29.83865789,-749.8386579,,,,,
1821288557,-34.34505634,-46.27973459,-766.2797346,,,,,
1836208955,-32.34528678,-41.64078034,-761.6407803,,,,,
1851129353,-29.66783921,-58.01357967,-778.0135797,,,,,
1866049751,-29.3283648,-36.65331963,-756.6533196,,,,,
1880970149,-28.76530142,-44.75269542,-764.7526954,,,,,
1895890547,-29.16466301,-52.57512339,-772.5751234,,,,,
1910810945,-28.30307106,-38.04335734,-758.0433573,,,,,
1925731343,-28.53516745,-47.20111044,-767.2011104,,,,,
1940651741,-29.7078829,-63.18446919,-783.1844692,,,,,
1955572139,-28.55256024,-64.56483162,-784.5648316,,,,,
1970492537,-28.10827227,-62.44045852,-782.4404585,,,,,
1985412935,-26.7451953,-68.39899227,-788.3989923,,,,,
2000333333,-29.39583734,-85.42779381,-805.4277938,,,,,
2015253731,-26.25079763,-77.00478783,-797.0047878,,,,,
2030174129,-25.90374532,-105.3388938,-825.3388938,,,,,
2045094527,-25.96707083,-77.46082675,-797.4608267,,,,,
2060014925,-23.11649013,-95.47281072,-815.4728107,,,,,
