Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg]
1000000,-60.98678690654829,-38.6822582123153,-38.6822582123153
6998000,-53.51684000996745,-109.58985205930988,-109.58985205930988
12996000,-56.90908504785169,-174.75024965594153,-174.75024965594153
18994000,-64.60949758796518,17.74037740593476,-342.25962259406526
24992000,-57.602198041339975,55.14632402728028,-304.8536759727197
30990000,-53.05587019992278,122.55126586194893,-237.44873413805107
36988000,-55.282849265463014,106.78746258474789,-253.21253741525211
42986000,-51.28243801461202,89.03209037580716,-270.9679096241928
48984000,-48.39587330093083,96.88367696180349,-263.1163230381965
54982000,-52.78685863312138,60.75133500218383,-299.24866499781615
60980000,-47.54878567939112,66.1626094902694,-293.8373905097306
66978000,-49.05688239941968,58.86679929809956,-301.1332007019004
72976000,-50.08553863298847,59.5216504155284,-300.47834958447163
78974000,-51.060085724898634,83.25007715199267,-276.7499228480073
84972000,-46.373703740153445,94.25035545770181,-265.7496445422982
90970000,-48.5799466857005,119.69080017922866,-240.30919982077134
96968000,-42.555089801968585,72.79034874670862,-287.2096512532914
102966000,-55.0175319657449,92.88102770436612,-267.11897229563385
108964000,-46.59311327885138,58.00317180838958,-301.9968281916104
114962000,-42.498438063525384,63.326363373842106,-296.6736366261579
120960000,-45.07661064842013,78.65074869942603,-281.349251300574
126958000,-44.98021304102731,92.23231804070335,-267.7676819592966
132956000,-46.453940323675255,86.56369337972184,-273.4363066202782
138954000,-43.504839733712004,75.18864073826514,-284.8113592617349
144952000,-42.26764738495674,80.39971813547373,-279.60028186452627
150950000,-45.64399550209451,74.76926228173554,-285.23073771826444
156948000,-42.041870004272006,73.64845321450102,-286.35154678549895
162946000,-41.468496021923016,37.18962448649462,-322.8103755135054
168944000,-40.6492115547193,77.84353884912844,-282.15646115087156
174942000,-41.25464760791053,79.94483841459898,-280.05516158540104
180940000,-39.106903103305264,57.262553133239074,-302.73744686676093
186938000,-40.28155294138835,51.244187154226005,-308.755812845774
192936000,-39.9492884329354,55.08841307490612,-304.9115869250939
198934000,-38.744939397978314,40.63295955526157,-319.36704044473845
204932000,-42.503241870248985,43.2906962147305,-316.7093037852695
210930000,-39.28762153236802,41.48954794272913,-318.51045205727087
216928000,-45.412922764163106,47.606604232328536,-312.39339576767145
222926000,-35.79174528372765,28.24685531292204,-331.75314468707796
228924000,-35.89704330185179,49.72400803730246,-310.27599196269756
234922000,-34.53513962124922,43.45149080354568,-316.54850919645435
240920000,-33.833100582101906,57.28638803486112,-302.71361196513885
246918000,-35.52884896481294,50.616289196173675,-309.3837108038263
252916000,-34.11940853914517,39.89255650478359,-320.1074434952164
258914000,-36.31907104685522,32.29630991331923,-327.70369008668075
264912000,-31.63941376772954,43.34642107971763,-316.65357892028237
270910000,-35.840754645291206,23.37558827488294,-336.62441172511706
276908000,-30.566773693736323,39.690488069485326,-320.30951193051465
282906000,-37.271903710181114,72.15623075460111,-287.8437692453989
288904000,-39.29773049675247,43.488780803573526,-316.51121919642645
294902000,-31.96258425478712,39.170129044494885,-320.8298709555051
300900000,-34.511564468258726,-7.6625690070126,-367.6625690070126
306898000,-33.671192745220885,34.70614389542453,-325.29385610457547
312896000,-31.949057003675712,25.010628088230675,-334.98937191176935
318894000,-31.90204786179299,24.37517897143226,-335.62482102856774
324892000,-33.28892644866025,32.95189767208645,-327.04810232791357
330890000,-31.091329717931707,25.749103249192828,-334.25089675080716
336888000,-28.358938528487442,30.043552411422173,-329.9564475885778
342886000,-29.99951629135875,17.59064354553745,-342.40935645446257
348884000,-30.593489844189683,0.17385865695070984,-359.8261413430493
354882000,-29.049462962254463,-6.4073836577492,-366.4073836577492
360880000,-26.788909402209878,2.556127069978574,-357.4438729300214
366878000,-27.809086167682807,-4.496316476095678,-364.49631647609567
372876000,-27.12194244391754,16.34611278997728,-343.65388721002273
378874000,-26.126824065431652,2.024879237451349,-357.97512076254867
384872000,-24.526074087290418,26.402380397395525,-333.5976196026045
390870000,-22.819624026037847,1.7392979767410164,-358.260702023259
396868000,-22.786968011687676,4.0821251662916636,-355.9178748337083
402866000,-22.510644808144747,-4.215565119020505,-364.2155651190205
408864000,-21.297810230629892,-1.4661462545336608,-361.46614625453367
414862000,-20.6106473692655,-12.21758996424189,-372.2175899642419
420860000,-22.782177066100967,-13.20679684279364,-373.20679684279366
426858000,-20.29579151511774,0.41372143887131185,-359.58627856112867
432856000,-21.98529974854106,-28.424723898804032,-388.424723898804
438854000,-16.803199811109536,-2.5750939674036917,-362.5750939674037
444852000,-19.036319414390814,-22.5292466172392,-382.5292466172392
450850000,-16.90996072735271,-28.68653068090804,-388.68653068090805
456848000,-16.812180278056037,-58.349593784205666,-418.3495937842057
462846000,-17.73603096762208,-54.841649688289564,-414.8416496882896
468844000,-17.372606759957915,-62.99049238972081,-422.9904923897208
474842000,-14.004444830185598,-59.353445335649305,-419.3534453356493
480840000,-14.04230815813996,-66.23856869393671,-426.2385686939367
486838000,-17.168672965484276,-99.42978946161081,-459.4297894616108
492836000,-15.936676579891298,-85.68480668707352,-445.68480668707355
498834000,-17.474882022238305,-94.88804508825613,-454.88804508825615
504832000,-16.27015186276711,-101.1139144977534,-461.1139144977534
510830000,-19.225645807528892,-114.19503881370035,-474.19503881370036
516828000,-18.139750628038726,-103.39710414864844,-463.39710414864845
522826000,-18.858683385190695,-140.07593242627365,-500.07593242627365
528824000,-19.606734749522627,-126.38955994261502,-486.38955994261505
534822000,-20.303684907006364,-123.50379875179362,-483.5037987517936
540820000,-21.978685021174105,-138.09306227345684,-498.09306227345684
546818000,-20.891778870968913,-161.48965936892446,-521.4896593689244
552816000,-19.76916237915981,-151.10147167995288,-511.10147167995285
558814000,-23.33273632517424,-167.94683921236825,-527.9468392123682
564812000,-22.330361691603585,-147.98740496383556,-507.98740496383556
570810000,-20.9444204353076,-164.38648055505388,-524.3864805550538
576808000,-24.282850885753476,-160.40172186475272,-520.4017218647527
582806000,-23.848098718422,-164.34959868079397,-524.349598680794
588804000,-22.0777899838252,-178.00989948106934,-538.0098994810694
594802000,-23.46113876236895,-174.96333203918613,-534.9633320391861
600800000,-21.86834460869109,-177.32478857233792,-537.3247885723379
606798000,-23.022802092818658,-172.5820330369965,-532.5820330369966
612796000,-21.795843234361175,-177.27285343605712,-537.2728534360572
618794000,-22.13437297382841,-170.17048972199635,-530.1704897219963
624792000,-23.025872940229068,-171.72176550855252,-531.7217655085525
630790000,-23.967317524387045,-165.29370934580317,-525.2937093458031
636788000,-24.726124064279077,-175.64740904287166,-535.6474090428717
642786000,-24.352769206397504,-168.66154638423822,-528.6615463842382
648784000,-23.877676459130992,-168.91890207200112,-528.9189020720012
654782000,-25.10278920668309,-168.96534302340663,-528.9653430234066
660780000,-25.085422376189864,-168.82778827459998,-528.8277882745999
666778000,-27.725477088629823,-176.49979948791307,-536.499799487913
672776000,-28.094507203475896,175.20303767463412,-544.7969623253659
678774000,-28.315013182662838,168.2481834788783,-551.7518165211217
684772000,-27.390583006144844,160.69900029974104,-559.3009997002589
690770000,-27.65257310751246,165.55016715770998,-554.44983284229
696768000,-28.342605034876396,156.833840186808,-563.166159813192
702766000,-27.075032917353656,164.65424355351166,-555.3457564464884
708764000,-27.610579773323195,160.02102533498652,-559.9789746650135
714762000,-28.0631367014824,150.86303233896922,-569.1369676610308
720760000,-27.051283024390848,149.31995510821557,-570.6800448917844
726758000,-27.273648572831384,161.81816032003937,-558.1818396799606
