Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg]
2532156000,-8.190336936428233,-84.25902193462929,-1164.2590219346293
2538154000,-10.382813946528685,-79.2839424450478,-1159.2839424450478
2544152000,-7.905008016747123,-87.31316030956876,-1167.3131603095687
2550150000,-8.756683831469337,-90.22905713452602,-1170.229057134526
2556148000,-9.35916119345183,-90.56611224833573,-1170.5661122483357
2562146000,-8.004320550865692,-98.27064432169253,-1178.2706443216925
2568144000,-7.4565154338237285,-96.43542357442,-1176.43542357442
2574142000,-7.489849718943961,-106.69251319304801,-1186.692513193048
2580140000,-6.754459540152715,-89.25389238598068,-1169.2538923859806
2586138000,-7.005458706959428,-102.31666117427898,-1182.316661174279
2592136000,-8.573302020087475,-101.00776034014774,-1181.0077603401478
2598134000,-8.397910073480135,-100.69190579061933,-1180.6919057906193
2604132000,-7.374485238060279,-103.45632895622235,-1183.4563289562223
2610130000,-9.53997555740399,-91.18372830276644,-1171.1837283027664
2616128000,-7.792968283776167,-112.0421391476644,-1192.0421391476643
2622126000,-10.203624702708261,-129.57494678678677,-1209.5749467867868
2628124000,-8.983793297791246,-105.7054672385604,-1185.7054672385605
2634122000,-9.6561399400519,-123.71534798773837,-1203.7153479877384
