Input time stamp C1 (s),Input Angular Position C1 (rad),Output time stamp C1 (s),Output Angular Position C1 (rad),,Input time stamp C2 (s) ,Input Angular Position C2 (rad),Output time stamp C2 (s),Output Angular Position C2 (rad),,Input time stamp C3 (s) ,Input Angular Position C3 (rad),Output time stamp C3 (s),Output Angular Position C3 (rad)
2.734,6.2832,2.734,6.34462,,2.734,6.2832,2.734,6.34462,,2.734,17.34,2.734,16.8341
2.736,6.2832,2.736,6.34462,,2.736,6.2832,2.736,6.34462,,2.736,17.36,2.736,16.8525
2.738,6.2832,2.738,6.34462,,2.738,6.2832,2.738,6.34462,,2.738,17.38,2.738,16.8709
2.74,6.2832,2.74,6.34462,,2.74,6.2832,2.74,6.34462,,2.74,17.4,2.74,16.8924
2.742,6.2832,2.742,6.34462,,2.742,6.2832,2.742,6.34462,,2.742,17.42,2.742,16.9108
2.744,6.2832,2.744,6.34462,,2.744,6.2832,2.744,6.34462,,2.744,17.44,2.744,16.9292
2.746,6.2832,2.746,6.34462,,2.746,6.2832,2.746,6.34462,,2.746,17.46,2.746,16.9507
2.748,6.2832,2.748,6.34462,,2.748,6.2832,2.748,6.34462,,2.748,17.48,2.748,16.9691
2.75,6.2832,2.75,6.34462,,2.75,6.2832,2.75,6.34462,,2.75,17.5,2.75,16.9875
2.752,6.2832,2.752,6.34462,,2.752,6.2832,2.752,6.34462,,2.752,17.52,2.752,17.0059
2.754,6.2832,2.754,6.34462,,2.754,6.2832,2.754,6.34462,,2.754,17.54,2.754,17.0274
2.756,6.2832,2.756,6.34462,,2.756,6.2832,2.756,6.34462,,2.756,17.56,2.756,17.0458
2.758,6.2832,2.758,6.34462,,2.758,6.2832,2.758,6.34462,,2.758,17.58,2.758,17.0642
2.76,6.2832,2.76,6.34462,,2.76,6.2832,2.76,6.34462,,2.76,17.6,2.76,17.0857
2.762,6.2832,2.762,6.34462,,2.762,6.2832,2.762,6.34462,,2.762,17.62,2.762,17.1041
2.764,6.2832,2.764,6.34462,,2.764,6.2832,2.764,6.34462,,2.764,17.64,2.764,17.1225
2.766,6.2832,2.766,6.34462,,2.766,6.2832,2.766,6.34462,,2.766,17.66,2.766,17.144
2.768,6.2832,2.768,6.34462,,2.768,6.2832,2.768,6.34462,,2.768,17.68,2.768,17.1624
2.77,6.2832,2.77,6.34462,,2.77,6.2832,2.77,6.34462,,2.77,17.7,2.77,17.1808
2.772,6.2832,2.772,6.34462,,2.772,6.2832,2.772,6.34462,,2.772,17.72,2.772,17.1992
2.774,6.2832,2.774,6.34462,,2.774,6.2832,2.774,6.34462,,2.774,17.74,2.774,17.2207
2.776,6.2832,2.776,6.34462,,2.776,6.2832,2.776,6.34462,,2.776,17.76,2.776,17.2391
2.778,6.2832,2.778,6.34462,,2.778,6.2832,2.778,6.34462,,2.778,17.78,2.778,17.2575
2.78,6.2832,2.78,6.34462,,2.78,6.2832,2.78,6.34462,,2.78,17.8,2.78,17.279
2.782,6.2832,2.782,6.34462,,2.782,6.2832,2.782,6.34462,,2.782,17.82,2.782,17.2974
2.784,6.2832,2.784,6.34462,,2.784,6.2832,2.784,6.34462,,2.784,17.84,2.784,17.3189
